Lista de preços - NOVEMBRO/2025,,,,,
Categoria: Informática,,,,,
Título do Livro,ISBN,,Autor,Preço (R$),Status
Storytelling no Design de Produto,9786586057218,,Anna Dahlström,"115,00",Disponível
Temas em Magento,9788575223963,,André Gugliotti ,"52,00",Disponível
Tidy First?,9788575228999,,Kent Beck,"62,00",Disponível
Uma Breve Introdução à Mineração de Dados,9786586057508,,Joaquim V. C. Assunção,"59,00",Disponível
UML 2 Uma Abordagem Prática – 3ª Edição,9788575226469,,Gilleanes T. A. Guedes,"119,00",Disponível apenas em e-book
UX para Empresas,9788575229057,,Joel Marsh,"99,00",Disponível
Web Interativa com Ajax e PHP – 2ª Edição,9788575223277,,Juliano Niederauer,"76,00",Disponível
Web Scraping com Python – 3ª Edição,9788575229231,,Ryan Mitchell,"129,00",Disponível
Web Services Restful,9788575224540,,Ricardo R. Lecheta,"105,00",Disponível
Wireshark para Profissionais de Segurança,9788575225936,,"Jessey Bullock, Jeff T. Parker","93,00",Disponível apenas em e-book
,,,,,
Categoria: Guia Mangá,,,,,
Título do Livro,ISBN,,Autor,Preço (R$),Status
Guia Mangá Álgebra Linear,9788575222935,,Shin Takahashi,"83,00",Disponível
Guia Mangá Análise de Regressão,9788575226988,,Shin Takahashi,"83,00",Disponível
Guia Mangá Bioquímica,9788575222874,,Masaharu Takemura,"83,00",Disponível
Guia Mangá Circuitos Eletrônicos,9788575224762,,Kenichi Tanaka,"83,00",Disponível
Guia Mangá Concreto,9788575225226,,Tetsuya Ishida,"83,00",Disponível
Guia Mangá de Bancos de Dados,9788575221631,,"Mana Takahashi, Trend-Pro Co. Ltd","83,00",Disponível
Guia Mangá de Biologia Molecular,9788575222072,,"Masaharu Takemura, Becom Co. Ltd.","83,00",Disponível
Guia Mangá de Cálculo Diferencial e Integral,9788575222089,,"Hiroyuki Kojima, Becom Co. Ltd.","83,00",Disponível
Guia Mangá de Eletricidade,9788575221907,,"Kazuhiro Fujitaki, Trend-Pro Co. Ltd.","83,00",Disponível
Guia Mangá de Estatística,9788575221686,,"Shin Takahashi, Trend-Pro Co. Ltd.","83,00",Disponível
Guia Mangá de Física Mecânica Clássica,9788575221969,,"Hideo Nitta, Trend-Pro Co. Ltd.","83,00",Disponível
Guia Mangá Fisiologia,9788575226049,,Etsuro Tanaka,"83,00",Disponível
Guia Mangá Dinâmica dos Fluidos,9788575224816,,"Masahiro Takei, Mai Matsushita, Office Sawa","83,00",Disponível
Guia Mangá Microprocessadores,9788575226971,,Michio Shibuya,"83,00",Disponível
Guia Mangá Motores Elétricos,9788575224823,,"Masayuki Morimoto, Ren Shimazu, Trend-Pro Co. Ltd.","83,00",Disponível
Guia Mangá Números Complexos,9788575224670,,Masashi Ochi,"83,00",Disponível
Guia Mangá Relatividade,9788575222720,,"Masafumi Yamamoto, Trend-Pro Co. Ltd","83,00",Disponível
Guia Mangá Universo,9788575222829,,"Kenji Ishikawa, Kiyoshi Kawabata, Verte Corp.","83,00",Disponível
,,,,,
Categoria: Negócios,,,,,
Título do Livro,ISBN,,Autor,Preço (R$),Status
A Bíblia do Marketing Digital – 2ª Edição,9788575227169,,Cláudio Torres,"92,00",Disponível
A Dieta da Informação,9788575222775,,Clay A. Johnson,"59,00",Disponível
Análise de Crédito e Cobrança,9788575228265,,Renivaldo José Sebben,"65,00",Disponível
Base de Conhecimento para Help Desk e Service Desk,9786586057317,,Roberto Cohen,"65,00",Disponível
Boas Apresentações Vendem Ideias,9788575222140,,Carlos Alberto Debastiani,"55,00",Disponível
Como Criar e Conduzir Cursos e Apresentações,9788575228623,,Sônia Martinez,"64,00",Disponível
Desmistificando o Neuromarketing,9786586057331,,Sérgio Ignácio,"95,00",Disponível
Gamification em Help Desk e Service Desk,9788575225837,,Roberto Cohen,"65,00",Disponível
Google Analytics e Google Tag Manager para Desenvolvedores,9788575225028,,Jonathan Weber,"93,00",Disponível
Implantação de Help Desk e Service Desk,9788575221648,,Roberto Cohen,"59,00",Disponível
Jovem e Bem-Sucedido,9788575223642,,Juliano Niederauer,"42,00",Disponível
Manual do Futuro Redator,9788575224397,,Sérgio Calderaro,"42,00",Disponível
Métricas para Help Desk e Service Desk ,9788575224212,,Roberto Cohen,"65,00",Disponível
Neuromarketing Aplicado à Redação Publicitária ,9788575223710,,Lilian S. Gonçalves,"59,00",Disponível
O Verdadeiro Marketing Médico,9788575228937,,Dr. Willy Marcus França,"89,00",Disponível
Os 8 Ps do Marketing Digital,9788575222751,,Conrado Adolpho,"149,00",Disponível apenas em e-book
Pesquisas de Opinião Pública,9788575225431,,Alexandre Correa,"89,00",Disponível
,,,,,
Categoria: Finanças,,,,,
Título do Livro,ISBN,,Autor,Preço (R$),Status
Alta Performance em Investimentos,9786586057782,,Jefferson Holtz,"87,00",Disponível
Análise Técnica de Ações ,9788575221532,,Carlos Alberto Debastiani,"73,00",Disponível
Aprenda a Investir por Conta Própria,9788575229132,,Elisson de Andrade,"89,00",Disponível
"Avaliando Empresas, Investindo em Ações",9788575221792,,"Carlos Alberto Debastiani, Felipe Russo","69,00",Disponível
Blockchain Básico,9788575226698,,Daniel Drescher,"78,00",Disponível
Candlestick – 2ª Edição,9786586057676,,Carlos Alberto Debastiani,"83,00",Disponível
Curso Rápido de Candlestick,9786586057737,,Steve Nison,"89,00",Disponível
Estratégias Estatísticas em Investimentos,9788575221945,,Ademir Xavier,"54,00",Disponível apenas em e-book
Estratégias para Lucrar com Gráficos de Candlestick,9786586057638,,Steve Nison,"75,00",Disponível
Fundos de Investimento Imobiliários – 2ª Edição,9788575228876,,Roni Antônio Mendes,"89,00",Disponível
Ganhando Dinheiro com Opções,9788575222423,,Elvis Pfützenreuter,"59,00",Disponível
Imposto de Renda no Mercado de Ações – 3ª Edição,9786586057003,,Murillo Lo Visco,"79,00",Disponível
Indo Além de Candlesticks,9786586057768,,Steve Nison,"95,00",Disponível
Investindo com os pés no chão,97888575229378,,Roni Antônio Mendes,"72,00",Disponível
Investindo na Bolsa Americana - 2ª Edição,9788575229019,,Felipe Augusto Russo,"72,00",Disponível
Investindo na Bolsa de Valores,9788575226780,,Ademir Passos,"67,00",Disponível
Investindo no Mercado de Opções – 2ª Edição,9786586057805,,Elvis Pfützenreuter,"69,00",Disponível
Lucrando com os Tubarões,9788575222881,,"Newton Linchen, Tarcísio S. Peres","55,00",Disponível
Manual de Análise Técnica,9788575221921,,Marcos Abe,"69,00",Disponível
Montando uma Carteira de Investimentos Inteligente,9786586057515,,Paulo Boniatti,"86,00",Disponível
Negociando Ações com Foco no Curto Prazo,9786586057379,,Carlos Alberto Debastiani,"67,00",Disponível
O Poder dos Gráficos de Candlestick,9788575228395,,Fred K. H. Tam,"98,00",Disponível
O que aprendi sobre investimentos com Darwin,9788575229071,,Pulak Prasad,"92,00",Disponível
Operando na Bolsa de Valores Utilizando Análise Técnica,9788575221563,,Joseilton S. Correia,"69,00",Disponível
Os 13 Axiomas dos Fundos Imobiliários,9788575229330,,Fabricio Soto,"67,00",Disponível
Pare de Viver na Corda Bamba,9788575222331,,Carlos Alberto Debastiani,"55,00",Disponível
Técnicas de Gráficos de Candlestick,9786586057713,,Steve Nison,"98,00",Disponível
,,,,,
Categoria: Outros,,,,,
Título do Livro,ISBN,,Autor,Preço (R$),Status
As Palavras mais Comuns da Língua Inglesa – 2ª Edição,8575220373,,Rubens Queiroz de Almeida,"65,00",Disponível apenas em e-book
Como Formatar seu TCC,9788575227824,,Alexandre L. Rangel,"64,00",Disponível
Desafios e Enigmas,9788560000067,,"Juliano Niederauer, Marla Aguiar","62,00",Disponível
Design de Embalagem,9788575221556,,"Celso Negrão, Eleida Pereira de Camargo","82,00",Disponível
Longevidade Inteligente,9788575228289,,Alexandre Correa,"53,00",Disponível
Read in English ,8575220225,,Rubens Queiroz de Almeida,"66,00",Disponível apenas em e-book
